Brand,Address,City,State,Postal Code,Date,Time
Sonic Drive-In,1442 Barrow Street ,Abilene,TX, 79605,2019-02-21,19:33:29
Sonic Drive-In,1734 N. First Street ,Abilene,TX, 79603,2019-02-21,19:33:29
Sonic Drive-In,202 N. Judge Ely Boulevard ,Abilene,TX, 79601,2019-02-21,19:33:29
Sonic Drive-In,2402 Sayles Boulevard ,Abilene,TX, 79605,2019-02-21,19:33:29
Sonic Drive-In,3856 S. Clack Street ,Abilene,TX, 79606,2019-02-21,19:33:29
Sonic Drive-In,5431 Acton Highway ,Acton,TX, 76049,2019-02-21,19:33:29
Sonic Drive-In,300 N. Fm 1187 ,Aledo,TX, 76008,2019-02-21,19:33:30
Sonic Drive-In,1256 East Main Street ,Alice,TX, 78332,2019-02-21,19:33:30
Sonic Drive-In,1310 W Mcdermott ,Allen,TX, 75013,2019-02-21,19:33:30
Sonic Drive-In,1536 E Stacy Road ,Allen,TX, 75002,2019-02-21,19:33:30
Sonic Drive-In,1805 East Bethany Road ,Allen,TX, 75002,2019-02-21,19:33:30
Sonic Drive-In,707 E. Main ,Allen,TX, 75002,2019-02-21,19:33:30
Sonic Drive-In,602 East Holland ,Alpine,TX, 79830,2019-02-21,19:33:30
Sonic Drive-In,1103 Highway 67 West ,Alvarado,TX, 76009,2019-02-21,19:33:30
Sonic Drive-In,1307 S. Gordon Street ,Alvin,TX, 77511,2019-02-21,19:33:31
Sonic Drive-In,1009 Amarillo Boulevard ,Amarillo,TX, 79107,2019-02-21,19:33:31
Sonic Drive-In,101 Tascosa Road ,Amarillo,TX, 79124,2019-02-21,19:33:31
Sonic Drive-In,1714 S Western St ,Amarillo,TX, 79106,2019-02-21,19:33:31
Sonic Drive-In,1910 S Grand ,Amarillo,TX, 79103,2019-02-21,19:33:31
Sonic Drive-In,2220 Ross Osage Drive ,Amarillo,TX, 79103,2019-02-21,19:33:31
Sonic Drive-In,2707 S Georgia ,Amarillo,TX, 79109,2019-02-21,19:33:31
Sonic Drive-In,3600 S. Washington ,Amarillo,TX, 79110,2019-02-21,19:33:31
Sonic Drive-In,4151 Hillside Road ,Amarillo,TX, 79110,2019-02-21,19:33:31
Sonic Drive-In,4320 Sw 45th St ,Amarillo,TX, 79109,2019-02-21,19:33:31
Sonic Drive-In,7100 South Bell ,Amarillo,TX, 79109,2019-02-21,19:33:31
Sonic Drive-In,7417 S.w. 34th Street ,Amarillo,TX, 79121,2019-02-21,19:33:31
Sonic Drive-In,"7701 I-40 W, Suite 212 ",Amarillo,TX, 79121,2019-02-21,19:33:31
Sonic Drive-In,8611 Hillside Road ,Amarillo,TX, 79119,2019-02-21,19:33:31
Sonic Drive-In,510 N. Main ,Andrews,TX, 79714,2019-02-21,19:33:31
Sonic Drive-In,1301 N. Velasco ,Angleton,TX, 77515,2019-02-21,19:33:32
Sonic Drive-In,207 E. White Street ,Anna,TX, 75409,2019-02-21,19:33:32
Sonic Drive-In,1715 Commercial Avenue ,Anson,TX, 79501,2019-02-21,19:33:32
Sonic Drive-In,1662 W. Wheeler ,Aransas Pass,TX, 78336,2019-02-21,19:33:32
Sonic Drive-In,202 North Center Street ,Archer City,TX, 76351,2019-02-21,19:33:32
Sonic Drive-In,1100 Ne Green Oaks Blvd ,Arlington,TX, 76006,2019-02-21,19:33:33
Sonic Drive-In,1201 S. Bowen Road ,Arlington,TX, 76013,2019-02-21,19:33:33
Sonic Drive-In,1400 Debbie Lane ,Arlington,TX, 76002,2019-02-21,19:33:33
Sonic Drive-In,1726 E Division ,Arlington,TX, 76011,2019-02-21,19:33:33
Sonic Drive-In,2016 S. Cooper ,Arlington,TX, 76013,2019-02-21,19:33:33
Sonic Drive-In,2121 E Lamar Blvd ,Arlington,TX, 76006,2019-02-21,19:33:33
Sonic Drive-In,2240 Se Green Oaks ,Arlington,TX, 76018,2019-02-21,19:33:33
Sonic Drive-In,2609 E. Park Row ,Arlington,TX, 76010,2019-02-21,19:33:33
Sonic Drive-In,3518 Matlock ,Arlington,TX, 76015,2019-02-21,19:33:33
Sonic Drive-In,"3811 South Cooper Street, Suite 2150 ",Arlington,TX, 76015,2019-02-21,19:33:33
Sonic Drive-In,409 W. Randol Mill Road ,Arlington,TX, 76011,2019-02-21,19:33:33
Sonic Drive-In,4111 South Bowen Road ,Arlington,TX, 76016,2019-02-21,19:33:33
Sonic Drive-In,4301 S. Collins Street ,Arlington,TX, 76018,2019-02-21,19:33:33
Sonic Drive-In,4719 Little Road ,Arlington,TX, 76017,2019-02-21,19:33:33
Sonic Drive-In,4721 West Sublett Road ,Arlington,TX, 76017,2019-02-21,19:33:33
