Brand,Address,City,State,Postal Code,Date,Time
Wendy's,4374 Southwest Dr,Abilene,TX,79606,2019-02-20,11:17:23
Wendy's,3710 Beltline Road,Addison,TX,75001,2019-02-20,11:17:23
Wendy's,2025 W McDermott Drive,Allen,TX,75013,2019-02-20,11:17:24
Wendy's,601 W McDermott Drive,Allen,TX,75013,2019-02-20,11:17:24
Wendy's,2000 Ross-Osage St,Amarillo,TX,79103,2019-02-20,11:17:24
Wendy's,4206 I-40 West,Amarillo,TX,79106,2019-02-20,11:17:24
Wendy's,4613 S Western,Amarillo,TX,79109,2019-02-20,11:17:24
Wendy's,5638 Amarillo Boulevard,Amarillo,TX,79106,2019-02-20,11:17:24
Wendy's,7236 SW 34th Ave,Amarillo,TX,79109,2019-02-20,11:17:24
Wendy's,1401 N Velasco Road,Angleton,TX,77515,2019-02-20,11:17:24
Wendy's,2015 Antonio Street,Anthony,TX,79821,2019-02-20,11:17:24
Wendy's,1195 North Watson Road,Arlington,TX,76011,2019-02-20,11:17:24
Wendy's,1311 North Collins,Arlington,TX,76011,2019-02-20,11:17:24
Wendy's,2550 E Pioneer Pkwy,Arlington,TX,76010,2019-02-20,11:17:24
Wendy's,3400 S Cooper,Arlington,TX,76015,2019-02-20,11:17:24
Wendy's,3911 Matlock,Arlington,TX,76015,2019-02-20,11:17:24
Wendy's,409 West Abram,Arlington,TX,76010,2019-02-20,11:17:24
Wendy's,4410 W Green Oaks Blvd,Arlington,TX,76016,2019-02-20,11:17:24
Wendy's,1000 East 41st Street,Austin,TX,78751,2019-02-20,11:17:25
Wendy's,10203 Lake Creek Pkwy,Austin,TX,78729,2019-02-20,11:17:25
Wendy's,10701 Research Blvd,Austin,TX,78759,2019-02-20,11:17:25
Wendy's,11606 Ranch Road 620 N,Austin,TX,78750,2019-02-20,11:17:25
Wendy's,12421 Mopac Expressway,Austin,TX,78758,2019-02-20,11:17:25
Wendy's,1418 E Anderson Lane,Austin,TX,78752,2019-02-20,11:17:25
Wendy's,1910 West Braker Lane,Austin,TX,78758,2019-02-20,11:17:25
Wendy's,201 E 21st St,Austin,TX,78705,2019-02-20,11:17:25
Wendy's,2224 East Riverside,Austin,TX,78741,2019-02-20,11:17:25
Wendy's,305 Slaughter Ln,Austin,TX,78748,2019-02-20,11:17:25
Wendy's,3596 Far West Blvd,Austin,TX,78731,2019-02-20,11:17:25
Wendy's,4115 S Congress,Austin,TX,78745,2019-02-20,11:17:25
Wendy's,4961 US Hwy 290 West,Austin,TX,78735,2019-02-20,11:17:25
Wendy's,5000 W Slaughter Ln,Austin,TX,78749,2019-02-20,11:17:25
Wendy's,5752 Airport Blvd,Austin,TX,78752,2019-02-20,11:17:25
Wendy's,619 N IH 35,Austin,TX,78702,2019-02-20,11:17:25
Wendy's,6210 East Ben White,Austin,TX,78741,2019-02-20,11:17:25
Wendy's,6247 McNeil Drive,Austin,TX,78729,2019-02-20,11:17:25
Wendy's,6428 South I-35,Austin,TX,78745,2019-02-20,11:17:25
Wendy's,12415 Lake June Road,Balch Springs,TX,75180,2019-02-20,11:17:25
Wendy's,514 Hwy 71 West,Bastrop,TX,78602,2019-02-20,11:17:25
Wendy's,6806 Garth Rd,Baytown,TX,77521,2019-02-20,11:17:25
Wendy's,8823 North Highway 146,Baytown,TX,77523,2019-02-20,11:17:25
Wendy's,4590 Dowlen Road,Beaumont,TX,77706,2019-02-20,11:17:26
Wendy's,735 S 11th Street,Beaumont,TX,77701,2019-02-20,11:17:26
Wendy's,1509 Brown Trail,Bedford,TX,76022,2019-02-20,11:17:26
Wendy's,3924 Highway 121,Bedford,TX,76021,2019-02-20,11:17:26
Wendy's,4544 Bissonnet,Bellaire,TX,77401,2019-02-20,11:17:26
Wendy's,1004 North Loop 340,Bellmead,TX,76705,2019-02-20,11:17:26
Wendy's,9221 Benbrook Blvd,Benbrook,TX,76126,2019-02-20,11:17:26
Wendy's,2311 S Gregg St,Big Spring,TX,79720,2019-02-20,11:17:27
Wendy's,1242 S Main Street,Boerne,TX,78006,2019-02-20,11:17:27
Wendy's,1001 Main Street,Brownsville,TX,78526,2019-02-20,11:17:27
Wendy's,891 Earl Rudder Freeway,Bryan,TX,77802,2019-02-20,11:17:27
Wendy's,33889 US Hwy 281 N,Bulverde,TX,78163,2019-02-20,11:17:28
Wendy's,270 NW John Jones Dr,Burleson,TX,76028,2019-02-20,11:17:28
Wendy's,881 NE Alsbury Blvd,Burleson,TX,76028,2019-02-20,11:17:28
Wendy's,407 23rd St,Canyon,TX,79015,2019-02-20,11:17:28
Wendy's,1005 W Trinity Mills,Carrollton,TX,75006,2019-02-20,11:17:28
Wendy's,1908 E Hebron Pkwy,Carrollton,TX,75007,2019-02-20,11:17:28
Wendy's,2003 Beltline Road,Carrollton,TX,75006,2019-02-20,11:17:23
Wendy's,2655 Midway Road,Carrollton,TX,75006,2019-02-20,11:17:23
Wendy's,404 East FM 1382,Cedar Hill,TX,75104,2019-02-20,11:17:28
Wendy's,2901 E Whitestone Blvd,Cedar Park,TX,78613,2019-02-20,11:17:29
Wendy's,810 N Bell Blvd,Cedar Park,TX,78613,2019-02-20,11:17:29
Wendy's,15770 I-10 East,Channelview,TX,77530,2019-02-20,11:17:29
Wendy's,325 FM 2094,Clear Lake Shores,TX,77565,2019-02-20,11:17:29
Wendy's,1604 W Henderson,Cleburne,TX,76033,2019-02-20,11:17:29
Wendy's,202 Southwest Pkwy E,College Station,TX,77840,2019-02-20,11:17:27
Wendy's,2050 Holleman Dr W,College Station,TX,77840,2019-02-20,11:17:27
Wendy's,1109 League Line Road,Conroe,TX,77303,2019-02-20,11:17:30
Wendy's,3032 College Park,Conroe,TX,77384,2019-02-20,11:17:30
Wendy's,8646 FM 78,Converse,TX,78109,2019-02-20,11:17:30
Wendy's,112 N Denton Tap Rd,Coppell,TX,75019,2019-02-20,11:17:30
Wendy's,821 S Macarthur,Coppell,TX,75019,2019-02-20,11:17:30
Wendy's,2740 E Highway 190,Copperas Cove,TX,76522,2019-02-20,11:17:30
Wendy's,4105 Ayers,Corpus Christi,TX,78415,2019-02-20,11:17:30
Wendy's,4123 South Staples,Corpus Christi,TX,78411,2019-02-20,11:17:30
Wendy's,5934 S Spid Dr,Corpus Christi,TX,78412,2019-02-20,11:17:30
Wendy's,6438 S Staples,Corpus Christi,TX,78413,2019-02-20,11:17:30
Wendy's,2900 S US Highway 287,Corsicana,TX,75109,2019-02-20,11:17:31
Wendy's,35 W FM 468,Cotulla,TX,78014,2019-02-20,11:17:31
Wendy's,14425 FM 2100,Crosby,TX,77532,2019-02-20,11:17:31
Wendy's,12611 Louetta Street,Cypress,TX,77429,2019-02-20,11:17:31
Wendy's,17545 Spring Cypress Road,Cypress,TX,77429,2019-02-20,11:17:31
Wendy's,18025 FM 529,Cypress,TX,77433,2019-02-20,11:17:31
Wendy's,28060 Hwy 290,Cypress,TX,77433,2019-02-20,11:17:31
Wendy's,9806 Fry Road,Cypress,TX,77433,2019-02-20,11:17:31
Wendy's,10046 Marsh Lane,Dallas,TX,75229,2019-02-20,11:17:32
Wendy's,11711 E NW Highway,Dallas,TX,75218,2019-02-20,11:17:32
Wendy's,11722 N Central Expy,Dallas,TX,75243,2019-02-20,11:17:32
Wendy's,135 Short Blvd,Dallas,TX,75232,2019-02-20,11:17:32
Wendy's,1507 E Kiest Blvd,Dallas,TX,75216,2019-02-20,11:17:32
Wendy's,17981 Preston Road,Dallas,TX,75252,2019-02-20,11:17:32
Wendy's,17989 Marsh Lane,Dallas,TX,75287,2019-02-20,11:17:32
Wendy's,1910 S Buckner Ave,Dallas,TX,75217,2019-02-20,11:17:25
Wendy's,1981 Fort Worth Ave,Dallas,TX,75208,2019-02-20,11:17:32
Wendy's,2241 W Northwest Hwy,Dallas,TX,75220,2019-02-20,11:17:32
Wendy's,2328 W Illinois Ave,Dallas,TX,75224,2019-02-20,11:17:32
Wendy's,2507 Royal Lane,Dallas,TX,75229,2019-02-20,11:17:32
Wendy's,2625 N International Parkway,Dallas,TX,75261,2019-02-20,11:17:32
Wendy's,2828 W Wheatland,Dallas,TX,75237,2019-02-20,11:17:28
Wendy's,3790 Forest Lane,Dallas,TX,75244,2019-02-20,11:17:32
Wendy's,4018 Lemmon Ave,Dallas,TX,75219,2019-02-20,11:17:32
Wendy's,4380 Dallas Ft Worth Tpke,Dallas,TX,75211,2019-02-20,11:17:32
Wendy's,510 South Beckley,Dallas,TX,75203,2019-02-20,11:17:32
